club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
3060,atromitos-athen,Atromitos Athen,GR1,,27,25.7,13,48.1,2,Stadio Peristeriou,9050,+€1.50m,,https://www.transfermarkt.co.uk/atromitos-athen/startseite/verein/3060
605,aris-thessaloniki,Aris Thessaloniki,GR1,,30,26.9,22,73.3,8,"Gipedo ""Kleanthis Vikelidis""",22800,+€4.80m,,https://www.transfermarkt.co.uk/aris-thessaloniki/startseite/verein/605
265,panathinaikos-athen,Panathinaikos Athen,GR1,,30,26.7,21,70.0,10,Apostolos Nikolaidis,15000,€-3.17m,,https://www.transfermarkt.co.uk/panathinaikos-athen/startseite/verein/265
2671,pas-giannina,Pas Giannina,GR1,,32,24.9,15,46.9,0,Stadio Zosimades,7652,+€2.68m,,https://www.transfermarkt.co.uk/pas-giannina/startseite/verein/2671
1091,paok-thessaloniki,Paok Thessaloniki,GR1,,33,26.3,23,69.7,7,Toumba Stadium,28703,€-2.53m,,https://www.transfermarkt.co.uk/paok-thessaloniki/startseite/verein/1091
6890,istanbul-basaksehir-fk,Istanbul Basaksehir Fk,TR1,,29,26.8,14,48.3,8,Başakşehir Fatih Terim,17156,+€1.85m,,https://www.transfermarkt.co.uk/istanbul-basaksehir-fk/startseite/verein/6890
173,odense-boldklub,Odense Boldklub,DK1,,27,23.4,13,48.1,2,Nature Energy Park,15790,+€600k,,https://www.transfermarkt.co.uk/odense-boldklub/startseite/verein/173
3205,kayserispor,Kayserispor,TR1,,27,26.0,14,51.9,2,RHG Enertürk Enerji Stadyumu,32864,+€3.00m,,https://www.transfermarkt.co.uk/kayserispor/startseite/verein/3205
5724,randers-fc,Randers Fc,DK1,,24,25.5,12,50.0,1,Cepheus Park Randers,10300,+€1.39m,,https://www.transfermarkt.co.uk/randers-fc/startseite/verein/5724
678,aarhus-gf,Aarhus Gf,DK1,,22,25.4,9,40.9,1,Ceres Park,19433,+€130k,,https://www.transfermarkt.co.uk/aarhus-gf/startseite/verein/678
1053,aalborg-bk,Aalborg Bk,DK1,,27,24.3,9,33.3,0,Aalborg Portland Park,13800,+€2.17m,,https://www.transfermarkt.co.uk/aalborg-bk/startseite/verein/1053
60949,volos-nps,Volos Nps,GR1,,27,25.8,16,59.3,2,Panthessaliko Stadio,22700,+€1.27m,,https://www.transfermarkt.co.uk/volos-nps/startseite/verein/60949
865,fc-midtjylland,Fc Midtjylland,DK1,,28,23.8,15,53.6,7,MCH Arena,11535,+€24.19m,,https://www.transfermarkt.co.uk/fc-midtjylland/startseite/verein/865
206,brondby-if,Brondby If,DK1,,28,24.3,13,46.4,5,Brøndby Stadion,28000,€-9.89m,,https://www.transfermarkt.co.uk/brondby-if/startseite/verein/206
190,fc-kopenhagen,Fc Kopenhagen,DK1,,28,25.1,17,60.7,9,Parken,38065,+€9.24m,,https://www.transfermarkt.co.uk/fc-kopenhagen/startseite/verein/190
2441,aek-athen,Aek Athen,GR1,,31,27.1,20,64.5,12,OPAP Arena,31100,€-2.60m,,https://www.transfermarkt.co.uk/aek-athen/startseite/verein/2441
26459,nk-veres-rivne,Nk Veres Rivne,UKR1,,24,26.4,0,,0,Stadion Avangard (2022),10000,+€170k,,https://www.transfermarkt.co.uk/nk-veres-rivne/startseite/verein/26459
49364,ingulets-petrove,Ingulets Petrove,UKR1,,25,26.7,2,8.0,1,Stadion Ingulets,1720,+-0,,https://www.transfermarkt.co.uk/ingulets-petrove/startseite/verein/49364
6992,chornomorets-odessa,Chornomorets Odessa,UKR1,,24,27.0,3,12.5,0,Stadion Chornomorets (2011),34164,+-0,,https://www.transfermarkt.co.uk/chornomorets-odessa/startseite/verein/6992
3592,kryvbas-kryvyi-rig,Kryvbas Kryvyi Rig,UKR1,,26,25.7,3,11.5,0,Girnyk,2500,€-150k,,https://www.transfermarkt.co.uk/kryvbas-kryvyi-rig/startseite/verein/3592
55686,metalist-1925-kharkiv,Metalist 1925 Kharkiv,UKR1,,24,25.4,2,8.3,0,NSK Olimpisky,70050,+-0,,https://www.transfermarkt.co.uk/metalist-1925-kharkiv/startseite/verein/55686
48726,rukh-lviv,Rukh Lviv,UKR1,,27,23.2,6,22.2,0,Ukraina,28051,+€50k,,https://www.transfermarkt.co.uk/rukh-lviv/startseite/verein/48726
6418,panetolikos-gfs,Panetolikos Gfs,GR1,,31,25.4,13,41.9,5,Gipedo Panetolikou,7321,+€100k,,https://www.transfermarkt.co.uk/panetolikos-gfs/startseite/verein/6418
6195,ssc-neapel,Ssc Neapel,IT1,,27,26.0,19,70.4,19,Stadio Diego Armando Maradona,54726,+€12.90m,,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
2740,vorskla-poltava,Vorskla Poltava,UKR1,,26,25.6,8,30.8,1,Stadion Minaj,0,+€1.63m,,https://www.transfermarkt.co.uk/vorskla-poltava/startseite/verein/2740
6676,asteras-tripolis,Asteras Tripolis,GR1,,31,27.2,24,77.4,0,Gipedo Theodoros Kolokotronis,7423,+-0,,https://www.transfermarkt.co.uk/asteras-tripolis/startseite/verein/6676
18303,fk-oleksandriya,Fk Oleksandriya,UKR1,,27,24.8,1,3.7,0,KSK Nika,7000,+-0,,https://www.transfermarkt.co.uk/fk-oleksandriya/startseite/verein/18303
60551,sk-dnipro-1,Sk Dnipro 1,UKR1,,28,25.5,9,32.1,5,Avangard,10640,+€650k,,https://www.transfermarkt.co.uk/sk-dnipro-1/startseite/verein/60551
1177,silkeborg-if,Silkeborg If,DK1,,26,24.1,3,11.5,2,JYSK Park,10000,+€5.09m,,https://www.transfermarkt.co.uk/silkeborg-if/startseite/verein/1177
683,olympiakos-piraus,Olympiakos Piraus,GR1,,30,27.5,20,66.7,11,Stadio Georgios Karaiskakis,32115,€-10.40m,,https://www.transfermarkt.co.uk/olympiakos-piraus/startseite/verein/683
338,dynamo-kiew,Dynamo Kiew,UKR1,,33,24.7,6,18.2,8,Valeriy Lobanovsky Stadion,16873,+€24.85m,,https://www.transfermarkt.co.uk/dynamo-kiew/startseite/verein/338
399,leeds-united,Leeds United,GB1,,24,25.5,19,79.2,9,Elland Road,37890,€-32.09m,,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
1148,fc-brentford,Fc Brentford,GB1,,24,25.5,19,79.2,12,Brentford Community Stadium,17250,€-47.90m,,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
1237,brighton-amp-hove-albion,Brighton Amp Hove Albion,GB1,,24,24.8,17,70.8,12,AMEX Stadium,31800,+€82.17m,,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
660,shakhtar-donetsk,Shakhtar Donetsk,UKR1,,31,24.6,5,16.1,9,Arena Lviv,34915,+€103.20m,,https://www.transfermarkt.co.uk/shakhtar-donetsk/startseite/verein/660
703,nottingham-forest,Nottingham Forest,GB1,,36,27.6,23,63.9,20,The City Ground,30445,€-179.25m,,https://www.transfermarkt.co.uk/nottingham-forest/startseite/verein/703
29,fc-everton,Fc Everton,GB1,,25,27.2,11,44.0,9,Goodison Park,39571,+€25.40m,,https://www.transfermarkt.co.uk/fc-everton/startseite/verein/29
10690,zorya-lugansk,Zorya Lugansk,UKR1,,25,24.2,0,,0,Valeriy Lobanovsky Stadion,16873,+€1.25m,,https://www.transfermarkt.co.uk/zorya-lugansk/startseite/verein/10690
83678,metal-kharkiv,Metal Kharkiv,UKR1,,24,26.2,3,12.5,0,Avangard,10640,€-820k,,https://www.transfermarkt.co.uk/metal-kharkiv/startseite/verein/83678
405,aston-villa,Aston Villa,GB1,,23,27.0,16,69.6,14,Villa Park,42682,€-46.14m,,https://www.transfermarkt.co.uk/aston-villa/startseite/verein/405
48332,kolos-kovalivka,Kolos Kovalivka,UKR1,,24,27.3,2,8.3,1,Kolos,5050,+€670k,,https://www.transfermarkt.co.uk/kolos-kovalivka/startseite/verein/48332
61825,fk-minaj,Fk Minaj,UKR1,,24,26.1,2,8.3,0,Stadion Minaj,2000,+€100k,,https://www.transfermarkt.co.uk/fk-minaj/startseite/verein/61825
762,newcastle-united,Newcastle United,GB1,,29,27.1,17,58.6,11,St James' Park,52338,€-183.05m,,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762
873,crystal-palace,Crystal Palace,GB1,,24,27.0,15,62.5,7,Selhurst Park,26047,€-41.15m,,https://www.transfermarkt.co.uk/crystal-palace/startseite/verein/873
